time,Sw,bulk_vel_x,bulk_vel_y,bulk_vel_z,h_w,heat_joules_extracted_this_timestep_h2o,mass_kg_h2o_extracted_this_timestep,mu_w,pressure_injection_point,pressure_middle,pressure_prod_point,rhow,temperature,temperature_injection_point,temperature_middle
223622445600,1,-4.3115003752532e-10,3.6359043612136e-10,0,1523468.3859327,0,0,8.229392331779e-05,35463385.134748,35584758.265141,35715476.65675,689.39223276602,607.03831972181,520.45540451145,562.07769993497
224253165600,1,-4.3163552980297e-10,3.6385239832702e-10,0,1525044.3498524,0,0,8.2199678527897e-05,35462099.032767,35583502.7443,35714238.774572,688.79262607163,607.31858587272,520.71641892324,562.34195663647
224883885600,1,-4.321183357028e-10,3.6411175948961e-10,0,1526614.938535,0,0,8.2105833950674e-05,35460816.948338,35582251.194634,35713004.292597,688.19431548228,607.59755836853,520.97637791409,562.60509235899
225514605600,1,-4.3259969119286e-10,3.6436924010797e-10,0,1528180.1629353,0,0,8.2012387391366e-05,35459539.16092,35581003.60147,35711772.972542,687.59730228729,607.87524165903,521.2352846482,562.86711093775
226145325600,1,-4.3307851047419e-10,3.6462434230677e-10,0,1529740.0397701,0,0,8.1919336424408e-05,35458265.29225,35579759.855805,35710544.878585,687.00158609801,608.15164110378,521.493142092,563.12801635667
226776045600,1,-4.3355558457385e-10,3.6487777862838e-10,0,1531294.5870033,0,0,8.1826678707555e-05,35456996.09326,35578520.536846,35709320.530543,686.40716682792,608.4267624501,521.74995350088,563.38781282598
227406765600,1,-4.3402975342723e-10,3.651279321457e-10,0,1532843.8194891,0,0,8.1734411716093e-05,35455730.432112,35577284.745566,35708099.118011,685.81404324409,608.70061060976,522.00572170938,563.64650427284
228037485600,1,-4.3450292560238e-10,3.6537791609592e-10,0,1534387.7247736,0,0,8.1642535213292e-05,35454470.222925,35576054.080079,35706882.035716,685.22222839039,608.97318750155,522.2604502463,563.90409513569
228668205600,1,-4.3497337716612e-10,3.6562491789423e-10,0,1535926.4054711,0,0,8.1551041369194e-05,35453213.718281,35574826.999975,35705667.95813,684.63168651544,609.24450813446,522.51414200943,564.16058910753
229298925600,1,-4.3544153388919e-10,3.658695939241e-10,0,1537459.8021573,0,0,8.1459932459439e-05,35451961.264935,35573603.879385,35704457.214825,684.04244675112,609.51457055206,522.76680006217,564.415990195
229929645600,1,-4.3590766366273e-10,3.6611202640103e-10,0,1538987.9370169,0,0,8.1369205784184e-05,35450712.785158,35572384.517599,35703249.582291,683.45450601183,609.78337950989,523.01842748251,564.67030232099
230560365600,1,-4.3637161763955e-10,3.6635191808511e-10,0,1540510.8287906,0,0,8.1278858944237e-05,35449468.236395,35571168.943435,35702045.09039,682.86786296641,610.05094034641,523.26902732436,564.92352952453
231191085600,1,-4.3683354341738e-10,3.6659029191659e-10,0,1542028.4939726,0,0,8.1188889858111e-05,35448228.234088,35569957.767119,35700844.321864,682.28251810917,610.31725846769,523.51860281175,565.17567603801
231821805600,1,-4.3729386993757e-10,3.6682685375997e-10,0,1543540.9472436,0,0,8.1099296277638e-05,35446992.572119,35568750.663299,35699646.870139,681.69847085439,610.58233875591,523.76715714301,565.42674574935
232452525600,1,-4.3775140237644e-10,3.6706094173053e-10,0,1545048.2056644,0,0,8.101007603904e-05,35445761.035912,35567547.663633,35698453.007718,681.1157209076,610.84618667124,524.01469337668,565.67674267626
233083245600,1,-4.3820719353826e-10,3.6729296796909e-10,0,1546550.2835428,0,0,8.0921226930852e-05,35444533.565561,35566348.468824,35697262.237608,680.53426763545,611.10880701782,524.26121465804,565.92567058082
233713965600,1,-4.3866093738352e-10,3.6752295061581e-10,0,1548047.1439176,0,0,8.0832750000457e-05,35443310.21451,35565153.260731,35696074.816684,679.9541315501,611.37019796295,524.50672411438,566.1735334012
234344685600,1,-4.3911235330767e-10,3.6775059690631e-10,0,1549538.799455,0,0,8.0744643302341e-05,35442090.929835,35563961.9586,35694890.71048,679.37531356031,611.63036548129,524.75122485862,566.42033497191
234975405600,1,-4.3956229182939e-10,3.679768180992e-10,0,1551025.4663914,0,0,8.0656893006331e-05,35440876.117114,35562774.897151,35693710.058531,678.79773585681,611.88933635686,524.99472017214,566.6660792728
235606125600,1,-4.4000950026819e-10,3.6820040917999e-10,0,1552507.0087797,0,0,8.0569505923264e-05,35439665.215694,35561591.674649,35692532.719378,678.22145656265,612.14710160171,525.23721308785,566.91077012328
236236845600,1,-4.4045498736848e-10,3.6842188620605e-10,0,1553983.4116484,0,0,8.0482481678473e-05,35438458.176521,35560412.099661,35691358.290384,677.64648646441,612.40365995997,525.47870671003,567.15441122155
236867565600,1,-4.4089853924159e-10,3.6864178313485e-10,0,1555454.718835,0,0,8.0395816897857e-05,35437255.824665,35559237.031761,35690187.800388,677.07281616666,612.65902018364,525.71920437744,567.39700669737
237498285600,1,-4.413401120049e-10,3.6885963917057e-10,0,1556920.9360565,0,0,8.030950996065e-05,35436057.626747,35558065.950971,35689020.606441,676.50044800298,612.91318578667,525.95870923643,567.63856024729
238129005600,1,-4.4177972095985e-10,3.6907544098339e-10,0,1558382.0846014,0,0,8.0223558443696e-05,35434863.282341,35556898.519574,35687856.378831,675.92937879897,613.16616245131,526.19722438018,567.87907548894
238759725600,1,-4.4221667618669e-10,3.692886136904e-10,0,1559838.1798218,0,0,8.0137960490104e-05,35433672.712973,35555734.820515,35686695.448197,675.35960888452,613.41795535451,526.43475284691,568.11855627614
239390445600,1,-4.4265199758507e-10,3.6949962098936e-10,0,1561289.2315925,0,0,8.0052714399483e-05,35432486.206698,35554574.948429,35685537.552113,674.79113960983,613.66856857725,526.67129782794,568.35700654785
240021165600,1,-4.4308496547069e-10,3.6970831900853e-10,0,1562735.2486899,0,0,7.9967818710599e-05,35431303.615482,35553418.887864,35684382.946933,674.22397371251,613.91800614448,526.9068624115,568.59443017728
